,company,location,title,city,state,level
13.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
130.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
131.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
132.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
133.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
134.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
135.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
136.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
137.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
138.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
139.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
14.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
140.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
141.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
142.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
143.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
144.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
145.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
146.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
147.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
148.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
149.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
15.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
150.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
151.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
152.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
153.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
154.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
155.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
156.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
157.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
158.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
159.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
16.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
160.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
161.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
162.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
163.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
164.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
165.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
166.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
167.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
168.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
169.0,National Security Agency,"Fort George G Meade, MD",Data Scientist,Fort George G Meade,MD,midlevel
17.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
170.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
171.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
172.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
173.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
174.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
175.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
176.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
177.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
178.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
179.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
18.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
180.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
181.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
182.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
183.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
184.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
185.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
186.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
187.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
188.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
