,city,company,level,location,state,title,coordinates
11.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
110.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1100.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1101.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1102.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1103.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1104.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1105.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1106.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1107.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1108.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1109.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
111.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1110.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1111.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1112.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1113.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1114.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1115.0,Fort George G Meade,National Security Agency,midlevel,"Fort George G Meade, MD",MD,Data Scientist,"(39.10517, -76.7476151974745)"
1116.0,Irvine,CoreLogic,midlevel,"Irvine, CA",CA,Data Scientist,"(33.6856969, -117.8259818)"
1117.0,Austin,General Motors,midlevel,"Austin, TX",TX,Data Scientist,"(30.2711286, -97.7436994)"
1118.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
